"incident_id","offence_code","case_number","date","start_date","end_date","nibrs_code","victims","crimename1","crimename2","crimename3","district","location","city","state","zip_code","agency","place","sector","beat","pra","address_number","street_prefix_dir","address_street","street_suffix_dir","street_type","latitude","longitude","police_district_number","geolocation"
"201531461","2316","250025238",,"2025-06-06T19:25:00.000",,"23H","1","Crime Against Property","All other Larceny","LARCENY - POSTAL","WHEATON","4700 BLK  IRIS ST","ROCKVILLE","MD","20853","MCPD","Residence - Single Family","K","4K2","341","4700",,"IRIS",,"ST","0.0","0.0","4D","
,  
(0.0, 0.0)"
"201531471","9061","250025299","2025-06-06T19:06:44.000","2025-06-06T19:06:00.000",,"90Z","1","Crime Against Society","All Other Offenses","FUGITIVE FROM MD JURISDICTION","TAKOMA PARK","7600 BLK  NEW HAMPSHIRE AVE","TAKOMA PARK","MD","20912","TPPD","Parking Lot - Other","T","8T3","806","7600",,"NEW HAMPSHIRE",,"AVE","38.9859","-76.9881","TPPD","
,  
(38.9859, -76.9881)"
"201531464","2303","250025288","2025-06-06T18:52:25.000","2025-06-06T18:52:00.000",,"23C","1","Crime Against Property","Shoplifting","LARCENY - SHOPLIFTING","BETHESDA","5100 BLK  NICHOLSON LA","KENSINGTON","MD","20895","MCPD","Grocery/Supermarket","D","2D4","186","5100",,"NICHOLSON",,"LA","39.04554","-77.1048","2D","
,  
(39.0455, -77.1048)"
"201531453","1399","250025278","2025-06-06T17:45:02.000","2025-06-06T17:45:00.000",,"13B","1","Crime Against Person","Simple Assault","ASSAULT - 2ND DEGREE","WHEATON","18000 BLK  GEORGIA AVE","OLNEY","MD","20832","MCPD","Street - Commercial","J","4J2","399","18000",,"GEORGIA",,"AVE","0.0","0.0","4D","
,  
(0.0, 0.0)"
"201531454","2399","250025275","2025-06-06T17:12:43.000","2025-06-06T17:12:00.000",,"23H","1","Crime Against Property","All other Larceny","LARCENY (DESCRIBE OFFENSE)","BETHESDA","7000 BLK  ARLINGTON RD","BETHESDA","MD","20814","MCPD","Residence - Other","D","2D2","031","7000",,"ARLINGTON",,"RD","38.97918","-77.0987","2D","
,  
(38.9792, -77.0987)"
"201531449","9108","250025253","2025-06-06T16:21:16.000","2025-06-06T16:21:00.000",,"90Z","1","Crime Against Society","All Other Offenses","RECOVERED PROPERTY - MONT CO.","MONTGOMERY VILLAGE","200 BLK  PARAMOUNT PARK DR","GAITHERSBURG","MD","20879","MCPD","Government Building","P","6P2","425","200",,"PARAMOUNT PARK",,"DR","39.15876","-77.2224","6D","
,  
(39.1588, -77.2224)"
"201531460","9113","250025261","2025-06-06T14:51:39.000","2025-06-06T16:17:00.000","2025-06-06T16:57:00.000","90Z","1","Crime Against Society","All Other Offenses","MENTAL ILLNESS - EMERGENCY PETITION","WHEATON","12400 BLK  GEORGIA AVE","SILVER SPRING","MD","20906","MCPD","Convenience Store","K","4K1","351","12400",,"GEORGIA",,"AVE","0.0","0.0","4D","
,  
(0.0, 0.0)"
"201531442","4104","250025252",,"2025-06-06T16:13:00.000",,"90G","1","Crime Against Society","Liquor Law Violations","LIQUOR - POSSESS","BETHESDA","8000 BLK  WISCONSIN AVE","BETHESDA","MD","20814","MCPD","Street - Commercial","D","2D2","048","8000",,"WISCONSIN",,"AVE","38.99055","-77.0955","2D","
,  
(38.9905, -77.0955)"
"201531469","5016","250025248","2025-06-06T15:44:15.000","2025-06-06T15:44:00.000",,"90Z","1","Crime Against Society","All Other Offenses","OBSTRUCT GOVT - VIOLATION OF A COURT ORDER","WHEATON","2800 BLK  PARKER AVE","SILVER SPRING","MD","20902","MCPD","Residence - Single Family","L","4L1","327","2800",,"PARKER",,"AVE","0.0","0.0","4D","
,  
(0.0, 0.0)"
"201531447","9113","250025244","2025-06-06T15:10:14.000","2025-06-06T15:10:00.000",,"90Z","1","Crime Against Society","All Other Offenses","MENTAL ILLNESS - EMERGENCY PETITION","WHEATON","2900 BLK  SCHOOLHOUSE CIR","SILVER SPRING","MD","20902","MCPD","Residence -Townhouse/Duplex","L","4L2","318","2900",,"SCHOOLHOUSE",,"CIR","39.04175","-77.0617","4D","
,  
(39.0418, -77.0617)"
"201531410","2303","250025211","2025-06-06T11:37:32.000","2025-06-06T11:37:00.000",,"23C","1","Crime Against Property","Shoplifting","LARCENY - SHOPLIFTING","GERMANTOWN","18000 BLK  MATENY RD","GERMANTOWN","MD","20874","MCPD","Retail - Drug Store/Pharmacy","N","5N2","448","18000",,"MATENY",,"RD","0.0","0.0","5D","
,  
(0.0, 0.0)"
"201531401","9107","250025208","2025-06-06T11:20:39.000","2025-06-06T11:20:00.000",,"90Z","1","Crime Against Society","All Other Offenses","MISSING PERSON","MONTGOMERY VILLAGE","14800 BLK  BROSCHART RD","ROCKVILLE","MD","20850","MCPD","Shelter-Mission/Homeless","P","6P1","721","14800",,"BROSCHART",,"RD","39.09862","-77.2019","6D","
,  
(39.0986, -77.2019)"
